"t1" "t2" "type"
"807" 32.97 15.01 "resident"
"808" 30.25 16.97 "resident"
"809" 34 18.48 "resident"
"810" 33.53 17.5 "resident"
"811" 36.42 15.08 "resident"
"812" 37.57 14.49 "resident"
"813" 33.44 16.65 "resident"
"814" 32 18.13 "resident"
"815" 36.6 13.87 "resident"
"816" 32.25 17.96 "resident"
"817" 29.31 16.59 "resident"
"818" 35.53 16.92 "resident"
"819" 29.28 19.32 "resident"
"820" 32.81 15.73 "resident"
"821" 42.16 7.32 "resident"
"822" 42.97 7.74 "resident"
"823" 33.1 16.67 "resident"
"824" 34.71 16.59 "resident"
"825" 36.13 13.52 "resident"
"826" 33.85 19.67 "resident"
"827" 35.38 13.49 "resident"
"828" 41.27 7.94 "resident"
"829" 37.87 13.74 "resident"
"830" 35.98 17.54 "resident"
"831" 33.95 15.09 "resident"
"832" 38.81 13.89 "resident"
"833" 40.87 9.48 "resident"
"834" 35.32 14.71 "resident"
"835" 35.72 14.45 "resident"
"836" 35.52 13.64 "resident"
"837" 34.37 14.33 "resident"
"838" 39.37 9.55 "resident"
"839" 34.47 16.51 "resident"
"840" 30.6 20.79 "resident"
"841" 31.24 18.78 "resident"
"842" 39.3 11.55 "resident"
"843" 30.5 16.19 "resident"
"844" 35.22 15.97 "resident"
"845" 35.29 14.43 "resident"
"846" 29.6 19.51 "resident"
"847" 29.85 18.26 "resident"
"848" 35.25 16.12 "resident"
"849" 35.3 14.63 "resident"
"850" 37.48 10.78 "resident"
"851" 34.88 12.33 "resident"
"852" 34.38 18.22 "resident"
"853" 30.58 20.09 "resident"
"854" 40.34 9.59 "resident"
"855" 30.75 17.64 "resident"
"856" 32.54 18.24 "resident"
"857" 41.39 10.59 "resident"
"858" 35.34 13.93 "resident"
"859" 33.85 15.32 "resident"
"860" 35.23 13.37 "resident"
"861" 34.17 16.44 "resident"
"862" 35.33 13.01 "resident"
"863" 34.57 12.78 "resident"
"864" 33.41 17.83 "resident"
"865" 33.69 16.92 "resident"
"866" 37.1 13.53 "resident"
"867" 34.08 16.8 "resident"
"868" 36.77 14.8 "resident"
"869" 39.75 11.33 "resident"
"870" 38.61 10.08 "resident"
"871" 32.02 16.5 "resident"
"872" 35.29 12.78 "resident"
"873" 35.41 19.31 "resident"
"874" 31.94 18.21 "resident"
"875" 35.73 15.84 "resident"
"876" 31.7 17.21 "resident"
"877" 36.34 16.97 "resident"
"878" 30.68 19.97 "resident"
"879" 34.65 14.42 "resident"
"880" 31.67 13.18 "resident"
"881" 36.21 11.27 "resident"
"882" 34.59 14.24 "resident"
"883" 38.13 13.67 "resident"
"884" 37.37 11.19 "resident"
"885" 33.51 13.34 "resident"
"886" 33.6 13.89 "resident"
"887" 33.24 16.05 "resident"
"888" 32.47 17.66 "resident"
"889" 32.06 16.26 "resident"
"890" 35.57 15.31 "resident"
"891" 34.58 14.03 "resident"
"892" 33.19 18 "resident"
"893" 30.16 18.08 "resident"
"894" 29.67 19.71 "resident"
"895" 33.96 17.56 "resident"
"896" 35.16 14.77 "resident"
"897" 33.1 16.26 "resident"
"898" 32.85 14.74 "resident"
"899" 29.74 17.63 "resident"
"900" 33.97 16.88 "resident"
"901" 35.98 14.1 "resident"
"902" 34.94 11.89 "resident"
"903" 36.2 13.84 "resident"
"904" 31 18.6 "resident"
"905" 34.45 12.72 "resident"
"906" 32.17 15.06 "resident"
"907" 40.82 12.38 "resident"
"908" 34.66 17.69 "resident"
"909" 33.52 15.71 "resident"
"910" 35.63 12.29 "resident"
"911" 31.87 15.52 "resident"
"912" 37.24 16.42 "resident"
"913" 37.95 13.55 "resident"
"914" 34.09 15.55 "resident"
"915" 39.57 10.03 "resident"
"916" 34.96 12.58 "resident"
"917" 28.53 20.29 "resident"
"918" 36.28 13.91 "resident"
"919" 31.46 18.52 "resident"
"920" 36.77 13.87 "resident"
"921" 31.91 15.25 "resident"
"922" 36.16 15.87 "resident"
"923" 36.9 16.63 "resident"
"924" 36.91 13.82 "resident"
"925" 36.58 14.4 "resident"
"926" 33.62 16.2 "resident"
"927" 35.88 12.74 "resident"
"928" 35.82 12.81 "resident"
"929" 32.53 16.16 "resident"
"930" 39.48 12.6 "resident"
"931" 30.45 16.91 "resident"
"932" 24.58 21.66 "resident"
"933" 33.01 16.31 "resident"
"934" 34.23 18.28 "resident"
"935" 31.78 17.22 "resident"
"936" 33.33 17.37 "resident"
"937" 32.89 15.96 "resident"
"938" 31.79 17.18 "resident"
"939" 33.92 15.31 "resident"
"940" 33.95 17.43 "resident"
"941" 35.71 13.77 "resident"
"942" 33.14 18.39 "resident"
"943" 32.67 15.76 "resident"
"944" 31.87 19.95 "resident"
"945" 32.02 17.01 "resident"
"946" 36.97 16.32 "resident"
"947" 38.77 10.71 "resident"
"948" 30.85 19.54 "resident"
"949" 29.71 20.25 "resident"
"950" 33.38 16.97 "resident"
"951" 35.09 15.19 "resident"
"952" 40.24 10.97 "resident"
"953" 31.62 18.59 "resident"
"954" 31.41 17.57 "resident"
"955" 37.45 14.85 "resident"
"956" 36.5 14.31 "resident"
"957" 35.46 13.62 "resident"
"958" 29.85 14.98 "resident"
"959" 32.06 20.26 "resident"
"960" 37.45 11.3 "resident"
"961" 32.42 15.5 "resident"
"962" 32.98 15.65 "resident"
"963" 33.19 16.42 "resident"
"964" 39.59 8.13 "resident"
"965" 38.26 12.37 "resident"
"966" 34.82 14.11 "resident"
"967" 38.18 12.72 "resident"
"968" 31.4 19.78 "resident"
"969" 33.34 13.34 "resident"
"970" 39.28 11.67 "resident"
"971" 36.49 13.69 "resident"
"972" 37.4 14.66 "resident"
"973" 34.39 14.74 "resident"
"974" 35.04 16.75 "resident"
"975" 40.87 13.37 "resident"
"976" 35.25 17.78 "resident"
"977" 40.85 6.98 "resident"
"978" 35.31 13.27 "resident"
"979" 29.44 20.3 "resident"
"980" 36.81 15.05 "resident"
"981" 35.74 15.37 "resident"
"982" 30.77 20.23 "resident"
"983" 30.11 21.01 "resident"
"984" 37.65 12.62 "resident"
"985" 34.54 16.79 "resident"
"986" 35.91 14.14 "resident"
"987" 32.14 14.19 "resident"
"988" 36.67 10.62 "resident"
"989" 31.62 15.96 "resident"
"990" 28.87 20.15 "resident"
"991" 33.44 17.53 "resident"
"992" 29.85 17.22 "resident"
"993" 37.95 10.58 "resident"
"994" 35.55 9.84 "resident"
"995" 38.47 7.86 "resident"
"996" 31.64 15.8 "resident"
"997" 32.18 18.97 "resident"
"998" 34.73 14.27 "resident"
"999" 30.86 19.7 "resident"
"1000" 37.78 12.17 "resident"
"1001" 32.11 18.07 "resident"
"1002" 28.19 17.47 "resident"
"1003" 35.45 15.11 "resident"
"1004" 33.73 19.47 "resident"
"1005" 36.04 13.34 "resident"
"1006" 36.63 13.73 "resident"
"1007" 36.97 10.18 "resident"
"1008" 37.23 13.81 "resident"
"1009" 29.18 17.54 "resident"
"1010" 30.11 22.12 "resident"
"1011" 38.11 14.08 "resident"
"1012" 35.21 16.65 "resident"
"1013" 32.35 14.05 "resident"
"1014" 35.54 12.74 "resident"
"1015" 35.07 17.9 "resident"
"1016" 37.76 9.46 "resident"
"1017" 35.49 13.7 "resident"
"1018" 30.51 19.26 "resident"
"1019" 34.1 16.12 "resident"
"1020" 37.54 12.14 "resident"
"1021" 38.89 10.81 "resident"
"1022" 29.76 16.63 "resident"
"1023" 37.38 11.78 "resident"
"1024" 41.02 10.43 "resident"
"1025" 33.41 16.15 "resident"
"1026" 32.89 17.27 "resident"
"1027" 35.35 12.38 "resident"
"1028" 29.42 19.1 "resident"
"1029" 35.42 15.84 "resident"
"1030" 40.23 11.76 "resident"
"1031" 39.4 10.53 "resident"
"1032" 34.17 16.17 "resident"
"1033" 34.34 17.24 "resident"
"1034" 30.43 19.17 "resident"
"1035" 33.02 17.08 "resident"
"1036" 37.18 12.52 "resident"
"1037" 32.74 16.05 "resident"
"1038" 34.55 16.63 "resident"
"1039" 37.24 9.82 "resident"
"1040" 34.6 17.33 "resident"
"1041" 29.19 22.54 "resident"
"1042" 36.98 14.76 "resident"
"1043" 39.13 14.78 "resident"
"1044" 33.34 13.27 "resident"
"1045" 33.85 11.89 "resident"
"1046" 35.51 14.15 "resident"
"1047" 37.44 8.2 "resident"
"1048" 35.53 15.76 "resident"
"1049" 34.96 17.93 "resident"
"1050" 29.63 18.34 "resident"
"1051" 38.7 12.62 "resident"
"1052" 33.41 15.34 "resident"
"1053" 31.56 17.75 "resident"
"1054" 36.58 11.9 "resident"
"1055" 33.13 15.43 "resident"
"1056" 31.16 20.84 "resident"
"1057" 33.5 15.05 "resident"
"1058" 35.66 13.56 "resident"
"1059" 39.93 13.18 "resident"
"1060" 33.17 12.03 "resident"
"1061" 35.95 12.86 "resident"
"1062" 34.51 13.93 "resident"
"1063" 41.05 11.06 "resident"
"1064" 33.15 15.78 "resident"
"1065" 35.2 16.39 "resident"
"1066" 34.93 14.86 "resident"
"1067" 33.76 15.76 "resident"
